2024-01-22 11:18:55 | INFO     | DF | Running on torch 1.13.0+cu117
2024-01-22 11:18:55 | INFO     | DF | Running on host jyd01-Super-Server
2024-01-22 11:18:55 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-01-22 11:18:55 | INFO     | DF | Initializing model `deepfilternet2`
2024-01-22 11:18:58 | WARNING  | DF | Could not find `best` checkpoint. Checking for default...
2024-01-22 11:18:58 | ERROR    | DF | Could not find a checkpoint
2024-01-22 11:20:45 | INFO     | DF | Running on torch 1.13.0+cu117
2024-01-22 11:20:45 | INFO     | DF | Running on host jyd01-Super-Server
2024-01-22 11:20:45 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-01-22 11:20:45 | INFO     | DF | Initializing model `deepfilternet2`
2024-01-22 11:20:47 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-01-22 11:20:47 | INFO     | DF | Running on device cuda:0
2024-01-22 11:20:47 | INFO     | DF | Model loaded
2024-01-22 11:31:05 | INFO     | DF | Running on torch 1.13.0+cu117
2024-01-22 11:31:05 | INFO     | DF | Running on host jyd01-Super-Server
2024-01-22 11:31:05 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-01-22 11:31:05 | INFO     | DF | Initializing model `deepfilternet2`
2024-01-22 11:31:07 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-01-22 11:31:07 | INFO     | DF | Running on device cuda:0
2024-01-22 11:31:07 | INFO     | DF | Model loaded
2024-01-22 11:41:13 | INFO     | DF | Running on torch 1.13.0+cu117
2024-01-22 11:41:13 | INFO     | DF | Running on host jyd01-Super-Server
2024-01-22 11:41:13 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-01-22 11:41:13 | INFO     | DF | Initializing model `deepfilternet2`
2024-01-22 11:41:15 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-01-22 11:41:15 | INFO     | DF | Running on device cuda:0
2024-01-22 11:41:15 | INFO     | DF | Model loaded
2024-01-22 11:42:16 | INFO     | DF | Running on torch 1.13.0+cu117
2024-01-22 11:42:16 | INFO     | DF | Running on host jyd01-Super-Server
2024-01-22 11:42:16 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-01-22 11:42:16 | INFO     | DF | Initializing model `deepfilternet2`
2024-01-22 11:42:17 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-01-22 11:42:17 | INFO     | DF | Running on device cuda:0
2024-01-22 11:42:17 | INFO     | DF | Model loaded
2024-01-22 11:42:37 | INFO     | DF | Running on torch 1.13.0+cu117
2024-01-22 11:42:37 | INFO     | DF | Running on host jyd01-Super-Server
2024-01-22 11:42:37 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-01-22 11:42:37 | INFO     | DF | Initializing model `deepfilternet2`
2024-01-22 11:42:39 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-01-22 11:42:39 | INFO     | DF | Running on device cuda:0
2024-01-22 11:42:39 | INFO     | DF | Model loaded
2024-01-22 11:42:54 | INFO     | DF | Running on torch 1.13.0+cu117
2024-01-22 11:42:54 | INFO     | DF | Running on host jyd01-Super-Server
2024-01-22 11:42:54 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-01-22 11:42:54 | INFO     | DF | Initializing model `deepfilternet2`
2024-01-22 11:42:56 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-01-22 11:42:56 | INFO     | DF | Running on device cuda:0
2024-01-22 11:42:56 | INFO     | DF | Model loaded
2024-01-22 11:52:18 | INFO     | DF | Running on torch 1.13.0+cu117
2024-01-22 11:52:18 | INFO     | DF | Running on host jyd01-Super-Server
2024-01-22 11:52:18 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-01-22 11:52:18 | INFO     | DF | Initializing model `deepfilternet2`
2024-01-22 11:52:20 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-01-22 11:52:20 | INFO     | DF | Running on device cuda:0
2024-01-22 11:52:20 | INFO     | DF | Model loaded
2024-01-22 13:47:35 | INFO     | DF | Running on torch 1.13.0+cu117
2024-01-22 13:47:35 | INFO     | DF | Running on host jyd01-Super-Server
2024-01-22 13:47:35 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-01-22 13:47:35 | INFO     | DF | Initializing model `deepfilternet2`
2024-01-22 13:47:37 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-01-22 13:47:37 | INFO     | DF | Running on device cuda:0
2024-01-22 13:47:37 | INFO     | DF | Model loaded
2024-01-22 13:49:19 | INFO     | DF | Running on torch 1.13.0+cu117
2024-01-22 13:49:19 | INFO     | DF | Running on host jyd01-Super-Server
2024-01-22 13:49:19 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-01-22 13:49:19 | INFO     | DF | Initializing model `deepfilternet2`
2024-01-22 13:49:21 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-01-22 13:49:21 | INFO     | DF | Running on device cuda:0
2024-01-22 13:49:21 | INFO     | DF | Model loaded
2024-01-22 13:51:44 | INFO     | DF | Running on torch 1.13.0+cu117
2024-01-22 13:51:44 | INFO     | DF | Running on host jyd01-Super-Server
2024-01-22 13:51:44 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-01-22 13:51:44 | INFO     | DF | Initializing model `deepfilternet2`
2024-01-22 13:51:46 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-01-22 13:51:46 | INFO     | DF | Running on device cuda:0
2024-01-22 13:51:46 | INFO     | DF | Model loaded
2024-01-22 13:54:11 | INFO     | DF | Running on torch 1.13.0+cu117
2024-01-22 13:54:11 | INFO     | DF | Running on host jyd01-Super-Server
2024-01-22 13:54:11 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-01-22 13:54:11 | INFO     | DF | Initializing model `deepfilternet2`
2024-01-22 13:54:13 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-01-22 13:54:13 | INFO     | DF | Running on device cuda:0
2024-01-22 13:54:13 | INFO     | DF | Model loaded
2024-01-22 13:54:55 | INFO     | DF | Running on torch 1.13.0+cu117
2024-01-22 13:54:55 | INFO     | DF | Running on host jyd01-Super-Server
2024-01-22 13:54:55 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-01-22 13:54:55 | INFO     | DF | Initializing model `deepfilternet2`
2024-01-22 13:54:56 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-01-22 13:54:56 | INFO     | DF | Running on device cuda:0
2024-01-22 13:54:56 | INFO     | DF | Model loaded
2024-01-22 13:55:21 | INFO     | DF | Running on torch 1.13.0+cu117
2024-01-22 13:55:21 | INFO     | DF | Running on host jyd01-Super-Server
2024-01-22 13:55:21 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-01-22 13:55:21 | INFO     | DF | Initializing model `deepfilternet2`
2024-01-22 13:55:23 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-01-22 13:55:23 | INFO     | DF | Running on device cuda:0
2024-01-22 13:55:23 | INFO     | DF | Model loaded
2024-01-22 13:56:56 | INFO     | DF | Running on torch 1.13.0+cu117
2024-01-22 13:56:56 | INFO     | DF | Running on host jyd01-Super-Server
2024-01-22 13:56:56 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-01-22 13:56:56 | INFO     | DF | Initializing model `deepfilternet2`
2024-01-22 13:56:58 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-01-22 13:56:58 | INFO     | DF | Running on device cuda:0
2024-01-22 13:56:58 | INFO     | DF | Model loaded
2024-01-22 14:03:53 | INFO     | DF | Running on torch 1.13.0+cu117
2024-01-22 14:03:53 | INFO     | DF | Running on host jyd01-Super-Server
2024-01-22 14:03:54 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-01-22 14:03:54 | INFO     | DF | Initializing model `deepfilternet2`
2024-01-22 14:03:55 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-01-22 14:03:55 | INFO     | DF | Running on device cuda:0
2024-01-22 14:03:55 | INFO     | DF | Model loaded
2024-01-22 14:05:52 | INFO     | DF | Running on torch 1.13.0+cu117
2024-01-22 14:05:52 | INFO     | DF | Running on host jyd01-Super-Server
2024-01-22 14:05:52 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-01-22 14:05:52 | INFO     | DF | Initializing model `deepfilternet2`
2024-01-22 14:05:54 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-01-22 14:05:54 | INFO     | DF | Running on device cuda:0
2024-01-22 14:05:54 | INFO     | DF | Model loaded
2024-01-22 14:08:08 | INFO     | DF | Running on torch 1.13.0+cu117
2024-01-22 14:08:08 | INFO     | DF | Running on host jyd01-Super-Server
2024-01-22 14:08:08 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-01-22 14:08:08 | INFO     | DF | Initializing model `deepfilternet2`
2024-01-22 14:08:10 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-01-22 14:08:10 | INFO     | DF | Running on device cuda:0
2024-01-22 14:08:10 | INFO     | DF | Model loaded
2024-01-22 14:09:57 | INFO     | DF | Running on torch 1.13.0+cu117
2024-01-22 14:09:57 | INFO     | DF | Running on host jyd01-Super-Server
2024-01-22 14:09:57 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-01-22 14:09:57 | INFO     | DF | Initializing model `deepfilternet2`
2024-01-22 14:09:59 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-01-22 14:09:59 | INFO     | DF | Running on device cuda:0
2024-01-22 14:09:59 | INFO     | DF | Model loaded
2024-01-22 14:12:19 | INFO     | DF | Running on torch 1.13.0+cu117
2024-01-22 14:12:19 | INFO     | DF | Running on host jyd01-Super-Server
2024-01-22 14:12:19 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-01-22 14:12:19 | INFO     | DF | Initializing model `deepfilternet2`
2024-01-22 14:12:21 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-01-22 14:12:21 | INFO     | DF | Running on device cuda:0
2024-01-22 14:12:21 | INFO     | DF | Model loaded
